国家	货币	货币代码	编号
蒙特塞拉特岛	东加勒比元	XCD	951
西撒哈拉	摩洛哥迪纳姆	MAD	504
西班牙	欧元	EUR	978
诺福克岛	澳元	AUD	036
贝宁	多哥非洲共同体法郎	XOF	952
赞比亚	赞比亚克瓦查	ZMW	967
赤道几内亚	多哥非洲共同体法郎	XAF	950
赫德岛和麦克唐纳群岛	澳元	AUD	036
越南	越南盾	VND	704
阿塞拜疆	阿塞拜疆马纳特	AZN	944
阿富汗	阿尼	AFN	971
阿尔及利亚	阿尔及利亚第纳尔	DZD	012
阿尔巴尼亚	列克	ALL	008
阿拉伯叙利亚共和国	叙利亚镑	SYP	760
阿拉伯联合酋长国	阿联酋迪拉姆	AED	784
阿曼	阿曼里亚尔	OMR	512
阿根廷	阿根廷比索	ARS	032
阿鲁巴岛	阿鲁巴弗洛林	AWG	533
非洲开发银行组织成员国	非洲发展银行账户单位	XUA	965
韩国(韩国共和国)	韩元	KRW	410
马其顿（前南斯拉夫的马其顿共和国）	第纳尔	MKD	807
马尔代夫	拉菲亚	MVR	462
马拉维	克瓦查	MWK	454
马提尼克岛	欧元	EUR	978
马来西亚	马来西亚林吉特	MYR	458
马约特岛	欧元	EUR	978
马绍尔群岛	美元	USD	840
马耳他	欧元	EUR	978
马达加斯加	阿里亚里	MGA	969
马里	多哥非洲共同体法郎	XOF	952
黎巴嫩	黎巴嫩镑	LBP	422
黑山共和国	欧元	EUR	978
